Sender_id_1,Sender_fullname_1,Recipient_fullname_1,Email_Subject_1,Subject_Type_1,SentDate_1,Weekday_1,SentHour_1,SentTime_1,Department_1,Title_1
51,Varja Lagos,Hennie Osvaldo,Patrol schedule changes,Work related,6/1/2014,Monday,During_work_hours,10:28,Security,Badging Office
51,Varja Lagos,Loreto Bodrogi,Patrol schedule changes,Work related,6/1/2014,Monday,During_work_hours,10:28,Security,Badging Office
51,Varja Lagos,Inga Ferro,Patrol schedule changes,Work related,6/1/2014,Monday,During_work_hours,10:28,Security,Badging Office
10,Brand Tempestad,Birgitta Frente,Wellhead flow rate data,Work related,6/1/2014,Monday,During_work_hours,10:35,Engineering,Drill Technician
10,Brand Tempestad,Lars Azada,Wellhead flow rate data,Work related,6/1/2014,Monday,During_work_hours,10:35,Engineering,Drill Technician
10,Brand Tempestad,Felix Balas,Wellhead flow rate data,Work related,6/1/2014,Monday,During_work_hours,10:35,Engineering,Drill Technician
29,Isak Baza,Lucas Alcazar,RE: GT-SeismicProcessorPro Bug Report,Work related,6/1/2014,Monday,During_work_hours,10:43,IT,IT Technician
39,Lucas Alcazar,Isak Baza,RE: GT-SeismicProcessorPro Bug Report,Work related,6/1/2014,Monday,During_work_hours,10:50,IT,IT Helpdesk
37,Linnea Bergen,Rachel Pantanal,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Lars Azada,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Felix Balas,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Isande Borrasca,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Axel Calzas,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Gustav Cazar,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Lidelse Dedos,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Birgitta Frente,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Vira Frente,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Adra Nubarron,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Marin Onda,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Kare Orilla,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Elsa Orilla,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Brand Tempestad,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Ingrid Barranco,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Ada Campo-Corrente,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Sten Sanjorge Jr.,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Orhan Strum,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Willem Vasco-Pais,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Bertrand Ovan,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Albina Hafon,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Benito Hawelon,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Claudio Hawelon,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Henk Mies,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Valeria Morlun,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Adan Morlun,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Cecilia Morluniau,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Irene Nant,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Dylan Scozzese,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Lucas Alcazar,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Isak Baza,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Nils Calixto,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Sven Flecha,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Hideki Cocinaro,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Inga Ferro,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Loreto Bodrogi,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Isia Vann,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Stenig Fusil,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Hennie Osvaldo,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Kanon Herrero,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Varja Lagos,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Minke Mies,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Felix Resumir,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Edvard Vann,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Emile Arpa,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Varro Awelon,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Mat Bramar,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Dante Coginian,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Carla Forluniau,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Linda Lagos,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Cornelia Lais,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Ruscella Mies Haber,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
37,Linnea Bergen,Anda Ribera,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:00,IT,IT Group Manager
38,Loreto Bodrogi,Ingrid Barranco,Plants,Work related,6/1/2014,Monday,During_work_hours,11:04,Security,Site Control
37,Linnea Bergen,Rachel Pantanal,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:16,IT,IT Group Manager
37,Linnea Bergen,Lars Azada,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:16,IT,IT Group Manager
37,Linnea Bergen,Felix Balas,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:16,IT,IT Group Manager
37,Linnea Bergen,Isande Borrasca,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:16,IT,IT Group Manager
37,Linnea Bergen,Axel Calzas,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:16,IT,IT Group Manager
37,Linnea Bergen,Gustav Cazar,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:16,IT,IT Group Manager
37,Linnea Bergen,Lidelse Dedos,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:16,IT,IT Group Manager
37,Linnea Bergen,Birgitta Frente,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:16,IT,IT Group Manager
37,Linnea Bergen,Vira Frente,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:16,IT,IT Group Manager
37,Linnea Bergen,Adra Nubarron,RE: Upcoming birthdays,Work related,6/1/2014,Monday,During_work_hours,11:16,IT,IT Group Manager
